img,model,level,bpp,psnr,ms_ssim,enc_time,dec_time,mem
kodim01.png,bmshj2018-factorized,1,0.18115234375,23.778481713828057,0.895734965801239,0.07151985168457031,0.10959672927856445,0
kodim01.png,bmshj2018-factorized,2,0.2763671875,24.848328465341094,0.92582768201828,0.03200125694274902,0.04099893569946289,0
kodim01.png,bmshj2018-factorized,3,0.435546875,25.96040309400555,0.9500184655189514,0.030997276306152344,0.03751087188720703,0
kodim01.png,bmshj2018-factorized,4,0.689453125,27.368737551891442,0.9688320159912109,0.03285408020019531,0.03959846496582031,0
kodim01.png,bmshj2018-factorized,5,1.0361328125,29.054416208097138,0.9812824726104736,0.03251934051513672,0.03600168228149414,0
kodim01.png,bmshj2018-factorized,6,1.6416015625,32.1514572528997,0.9907012581825256,0.06801772117614746,0.11203861236572266,0
kodim01.png,mbt2018,1,0.19677734375,24.84691569141267,0.9236672520637512,0.7030527591705322,1.3266401290893555,0
kodim01.png,mbt2018,2,0.35791015625,26.405069541054953,0.9501914978027344,0.7241456508636475,1.3090670108795166,0
kodim01.png,mbt2018,3,0.58251953125,28.375605785467776,0.971850574016571,0.6882791519165039,1.339571475982666,0
kodim01.png,mbt2018,4,0.86865234375,30.52146152163578,0.9832510948181152,0.7120053768157959,1.3241302967071533,0
kodim01.png,mbt2018,5,1.28125,33.238636559608416,0.9903106689453125,1.4385318756103516,2.0339131355285645,0
kodim01.png,mbt2018,6,1.6767578125,35.53091300234817,0.9940049052238464,1.4182138442993164,1.9513027667999268,0
kodim01.png,cheng2020-attn,1,0.20166015625,25.09304546162464,0.9293858408927917,0.6011765003204346,1.227238655090332,0
kodim01.png,cheng2020-attn,2,0.333984375,26.476791046066097,0.9541990756988525,0.5385727882385254,1.1974685192108154,0
kodim01.png,cheng2020-attn,3,0.53515625,28.15220048753168,0.9718775153160095,0.5568270683288574,1.3415541648864746,0
kodim01.png,cheng2020-attn,4,0.88916015625,30.752370092886157,0.9838489890098572,0.8744349479675293,1.5627503395080566,0
kodim01.png,cheng2020-attn,5,1.18505859375,32.51936028079834,0.9898532032966614,0.8460531234741211,1.5725739002227783,0
kodim01.png,cheng2020-attn,6,1.4990234375,34.14921985663217,0.9933061599731445,0.9272670745849609,1.4956271648406982,0
